uniprot|disease_name|effect_text|disease_description
P29317|Cataract 6, multiple types|The disease is caused by mutations affecting the gene represented in this entry.|An opacification of the crystalline lens of the eye that frequently results in visual impairment or blindness. Opacities vary in morphology, are often confined to a portion of the lens, and may be static or progressive. CTRCT6 includes posterior polar and age-related cortical cataracts, among others. Posterior polar cataract is a subcapsular opacity, usually disk-shaped, located at the back of the lens. Age-related cortical cataract is a developmental punctate opacity restricted to the cortex. The cataract is white or cerulean, increases in number with age, but rarely affects vision.
P29317|Cataract 6, multiple types|The disease is caused by mutations affecting the gene represented in this entry.|An opacification of the crystalline lens of the eye that frequently results in visual impairment or blindness. Opacities vary in morphology, are often confined to a portion of the lens, and may be static or progressive. CTRCT6 includes posterior polar and age-related cortical cataracts, among others. Posterior polar cataract is a subcapsular opacity, usually disk-shaped, located at the back of the lens. Age-related cortical cataract is a developmental punctate opacity restricted to the cortex. The cataract is white or cerulean, increases in number with age, but rarely affects vision.
P29317|Cataract 6, multiple types|The disease is caused by mutations affecting the gene represented in this entry.|An opacification of the crystalline lens of the eye that frequently results in visual impairment or blindness. Opacities vary in morphology, are often confined to a portion of the lens, and may be static or progressive. CTRCT6 includes posterior polar and age-related cortical cataracts, among others. Posterior polar cataract is a subcapsular opacity, usually disk-shaped, located at the back of the lens. Age-related cortical cataract is a developmental punctate opacity restricted to the cortex. The cataract is white or cerulean, increases in number with age, but rarely affects vision.
P29317||Overexpressed in several cancer types and promotes malignancy.|
P29320|Colorectal cancer|The gene represented in this entry may be involved in disease pathogenesis.|A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history.
P29323|Prostate cancer |The gene represented in this entry may be involved in disease pathogenesis. EPHB2 mutations have been found in a prostate cancer cell line derived from a brain metastasis.|A malignancy originating in tissues of the prostate. Most prostate cancers are adenocarcinomas that develop in the acini of the prostatic ducts. Other rare histopathologic types of prostate cancer that occur in approximately 5% of patients include small cell carcinoma, mucinous carcinoma, prostatic ductal carcinoma, transitional cell carcinoma, squamous cell carcinoma, basal cell carcinoma, adenoid cystic carcinoma (basaloid), signet-ring cell carcinoma and neuroendocrine carcinoma.
P29323|Prostate cancer |The gene represented in this entry may be involved in disease pathogenesis. EPHB2 mutations have been found in a prostate cancer cell line derived from a brain metastasis.|A malignancy originating in tissues of the prostate. Most prostate cancers are adenocarcinomas that develop in the acini of the prostatic ducts. Other rare histopathologic types of prostate cancer that occur in approximately 5% of patients include small cell carcinoma, mucinous carcinoma, prostatic ductal carcinoma, transitional cell carcinoma, squamous cell carcinoma, basal cell carcinoma, adenoid cystic carcinoma (basaloid), signet-ring cell carcinoma and neuroendocrine carcinoma.
P29323|Bleeding disorder, platelet-type 22|The disease may be caused by mutations affecting the gene represented in this entry.|An autosomal recessive disorder characterized by increased bleeding tendency due to platelet dysfunction. Clinical features include epistaxis, hematomas, bleeding after minor injuries, and menorrhagia.
P54760|Lymphatic malformation 7|The disease is caused by mutations affecting the gene represented in this entry.|A form of primary lymphedema, a disease characterized by swelling of body parts due to developmental anomalies and functional defects of the lymphatic system. Patients with lymphedema may suffer from recurrent local infections. LMPHM7 is an autosomal dominant form with variable expressivity. Some individuals present with severe non-immune hydrops fetalis, which may cause perinatal demise or fully resolve after the neonatal period. Others present with no edema and have milder clinical features, such as atrial septal defect or varicose veins as adults.
P54760|Capillary malformation-arteriovenous malformation 2|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by multiple, round to oval or more irregularly shaped macules that are pinkish red in color and are randomly distributed across the body. These capillary malformations are associated with either arteriovenous malformation, arteriovenous fistula, or Parkes Weber syndrome.
P54760|Capillary malformation-arteriovenous malformation 2|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by multiple, round to oval or more irregularly shaped macules that are pinkish red in color and are randomly distributed across the body. These capillary malformations are associated with either arteriovenous malformation, arteriovenous fistula, or Parkes Weber syndrome.
P54760|Capillary malformation-arteriovenous malformation 2|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by multiple, round to oval or more irregularly shaped macules that are pinkish red in color and are randomly distributed across the body. These capillary malformations are associated with either arteriovenous malformation, arteriovenous fistula, or Parkes Weber syndrome.
P54760|Capillary malformation-arteriovenous malformation 2|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal dominant disorder characterized by multiple, round to oval or more irregularly shaped macules that are pinkish red in color and are randomly distributed across the body. These capillary malformations are associated with either arteriovenous malformation, arteriovenous fistula, or Parkes Weber syndrome.
P04626|Glioma |The gene represented in this entry is involved in disease pathogenesis.|Gliomas are benign or malignant central nervous system neoplasms derived from glial cells. They comprise astrocytomas and glioblastoma multiforme that are derived from astrocytes, oligodendrogliomas derived from oligodendrocytes and ependymomas derived from ependymocytes.
P04626|Ovarian cancer|The gene represented in this entry is involved in disease pathogenesis.|The term ovarian cancer defines malignancies originating from ovarian tissue. Although many histologic types of ovarian tumors have been described, epithelial ovarian carcinoma is the most common form. Ovarian cancers are often asymptomatic and the recognized signs and symptoms, even of late-stage disease, are vague. Consequently, most patients are diagnosed with advanced disease.
P04626|Ovarian cancer|The gene represented in this entry is involved in disease pathogenesis.|The term ovarian cancer defines malignancies originating from ovarian tissue. Although many histologic types of ovarian tumors have been described, epithelial ovarian carcinoma is the most common form. Ovarian cancers are often asymptomatic and the recognized signs and symptoms, even of late-stage disease, are vague. Consequently, most patients are diagnosed with advanced disease.
P04626|Lung cancer|The gene represented in this entry is involved in disease pathogenesis.|A common malignancy affecting tissues of the lung. The most common form of lung cancer is non-small cell lung cancer (NSCLC) that can be divided into 3 major histologic subtypes: squamous cell carcinoma, adenocarcinoma, and large cell lung cancer. NSCLC is often diagnosed at an advanced stage and has a poor prognosis.
P04626|Gastric cancer|The protein represented in this entry is involved in disease pathogenesis.|A malignant disease which starts in the stomach, can spread to the esophagus or the small intestine, and can extend through the stomach wall to nearby lymph nodes and organs. It also can metastasize to other parts of the body. The term gastric cancer or gastric carcinoma refers to adenocarcinoma of the stomach that accounts for most of all gastric malignant tumors. Two main histologic types are recognized, diffuse type and intestinal type carcinomas. Diffuse tumors are poorly differentiated infiltrating lesions, resulting in thickening of the stomach. In contrast, intestinal tumors are usually exophytic, often ulcerating, and associated with intestinal metaplasia of the stomach, most often observed in sporadic disease.
P04626|Gastric cancer|The protein represented in this entry is involved in disease pathogenesis.|A malignant disease which starts in the stomach, can spread to the esophagus or the small intestine, and can extend through the stomach wall to nearby lymph nodes and organs. It also can metastasize to other parts of the body. The term gastric cancer or gastric carcinoma refers to adenocarcinoma of the stomach that accounts for most of all gastric malignant tumors. Two main histologic types are recognized, diffuse type and intestinal type carcinomas. Diffuse tumors are poorly differentiated infiltrating lesions, resulting in thickening of the stomach. In contrast, intestinal tumors are usually exophytic, often ulcerating, and associated with intestinal metaplasia of the stomach, most often observed in sporadic disease.
P04626||Chromosomal aberrations involving ERBB2 may be a cause gastric cancer. Deletions within 17q12 region producing fusion transcripts with CDK12, leading to CDK12-ERBB2 fusion leading to truncated CDK12 protein not in-frame with ERBB2.|
P21860|Lethal congenital contracture syndrome 2|The disease is caused by mutations affecting the gene represented in this entry.|A form of lethal congenital contracture syndrome, an autosomal recessive disorder characterized by degeneration of anterior horn neurons, extreme skeletal muscle atrophy, and congenital non-progressive joint contractures (arthrogryposis). The contractures can involve the upper or lower limbs and/or the vertebral column, leading to various degrees of flexion or extension limitations evident at birth. LCCS2 patients manifest craniofacial/ocular findings, lack of hydrops, multiple pterygia, and fractures, as well as a normal duration of pregnancy and a unique feature of a markedly distended urinary bladder (neurogenic bladder defect). The phenotype suggests a spinal cord neuropathic etiology.
P21860|Erythroleukemia, familial|Disease susceptibility may be associated with variations affecting the gene represented in this entry.|An autosomal dominant myeloproliferative disorder characterized by neoplastic proliferation of erythroblastic and myeloblastic elements with atypical erythroblasts and myeloblasts in the peripheral blood. Disease penetrance is incomplete.
Q15303|Amyotrophic lateral sclerosis 19|The disease is caused by mutations affecting the gene represented in this entry.|A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5-10% of the cases.
P07332||Has been shown to act as proto-oncogene in some types of cancer, possibly due to abnormal activation of the kinase. Has been shown to act as tumor suppressor in other types of cancer. Expressed and present as activated kinase in a subset of acute myeloid leukemia patients; promotes survival of leukemia cells (PubMed:20111072). Expression is absent in K562 leukemia cells; ectopic expression of FSP/FES restores myeloid differentiation (PubMed:2656706). May function as tumor suppressor in colorectal cancer; expression is reduced or absent in samples from some colon cancer patients (PubMed:16455651). May function as tumor suppressor in melanoma by preventing melanoma cell proliferation; expression is reduced or absent in samples from some melanoma patients (PubMed:28463229). Ectopic expression of FSP/FES suppresses anchorage-independent growth in colon cancer cell lines (PubMed:16455651). Up-regulated in prostate cancer, and might be a predictor of recurrence after radical surgery (PubMed:16455651). May promote growth of renal carcinoma cells (PubMed:19082481).|
P11362|Pfeiffer syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by the association of craniosynostosis, broad and deviated thumbs and big toes, and partial syndactyly of the fingers and toes. Three subtypes are known: mild autosomal dominant form (type 1); cloverleaf skull, elbow ankylosis, early death, sporadic (type 2); craniosynostosis, early demise, sporadic (type 3).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Hypogonadotropic hypogonadism 2 with or without anosmia|The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. Some patients carrying mutations in FGFR1 also have a mutation other HH-associated genes including DUSP6, FGF8, FGF17, FLRT3, GNRH1, GNRHR, HS6ST1, IL17RD, ANOS1, KISS1R, NSMF, PROKR2, SPRY4 and TACR3 (PubMed:23643382).|A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH).
P11362|Osteoglophonic dysplasia |The disease is caused by mutations affecting the gene represented in this entry.|Characterized by craniosynostosis, prominent supraorbital ridge, and depressed nasal bridge, as well as by rhizomelic dwarfism and nonossifying bone lesions. Inheritance is autosomal dominant.
P11362|Osteoglophonic dysplasia |The disease is caused by mutations affecting the gene represented in this entry.|Characterized by craniosynostosis, prominent supraorbital ridge, and depressed nasal bridge, as well as by rhizomelic dwarfism and nonossifying bone lesions. Inheritance is autosomal dominant.
P11362|Hartsfield syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by the triad of holoprosencephaly, ectrodactyly, and cleft/lip palate. Profound mental retardation is also present. Multiple other congenital anomalies usually occur.
P11362|Hartsfield syndrome|The disease is caused by mutations affecting the gene represented in this entry.|A syndrome characterized by the triad of holoprosencephaly, ectrodactyly, and cleft/lip palate. Profound mental retardation is also present. Multiple other congenital anomalies usually occur.
P11362|Trigonocephaly 1|The disease is caused by mutations affecting the gene represented in this entry.|A keel-shaped deformation of the forehead, caused by premature fusion of the metopic sutures. It results in a triangular shape of the head.
P11362||A chromosomal aberration involving FGFR1 may be a cause of stem cell leukemia lymphoma syndrome (SCLL). Translocation t(8;13)(p11;q12) with ZMYM2. SCLL usually presents as lymphoblastic lymphoma in association with a myeloproliferative disorder, often accompanied by pronounced peripheral eosinophilia and/or prominent eosinophilic infiltrates in the affected bone marrow.|
P11362||A chromosomal aberration involving FGFR1 may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(6;8)(q27;p11) with FGFR1OP. Insertion ins(12;8)(p11;p11p22) with FGFR1OP2. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, FGFR1OP-FGFR1 or FGFR1-FGFR1OP may exhibit constitutive kinase activity and be responsible for the transforming activity.|
P11362||A chromosomal aberration involving FGFR1 may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(8;9)(p12;q33) with CNTRL. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion protein CNTRL-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity.|
P11362|Encephalocraniocutaneous lipomatosis|The disease is caused by mutations affecting the gene represented in this entry.|A sporadically occurring, neurocutaneous disorder characterized by ocular anomalies, skin lesions, and central nervous system anomalies. Clinical features include a well-demarcated hairless fatty nevus on the scalp, benign ocular tumors, intracranial and intraspinal lipomas, and congenital abnormalities of the meninges. Seizures, spasticity, and intellectual disability can be present.
